Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10004.txt
Twenty : 3
townThe : 2
idol : 4
salary : 2
thrones : 2
Hymns : 3
Grow : 8
pick : 2
Infinite : 8
ten : 4
daring : 2
energy : 32
require : 2
standards : 5
Promise : 3
Excellence : 6
A : 1173
hang : 2
B : 2
C : 3
E : 7
F : 4
roll : 2
I : 179
turn : 7
perseverance : 2
O : 9
result : 11
gold : 8
opposition : 3
same : 17
S : 2
selfish : 3
after : 19
connect : 2
hand : 31
a : 1173
b : 2
c : 3
artistic : 3
weeping : 3
blood : 2
the : 2899
straight : 2
ofan : 2
entering : 4
information : 11
thy : 24
earths : 2
good : 18
faithful : 3
Light : 8
myriad : 3
copying : 2
serious : 5
laugh : 2
quickening : 4
Thereis : 5
mustbe : 3
gone : 2
sane : 2
sand : 2
Immortality : 3
provided : 2
hart : 2
seminaries : 2
Correction : 2
root : 8
hard : 10
Age : 11
Aristotle : 2
room : 3
better : 14
taking : 5
cathedrals : 2
poets : 4
hath : 5
flow : 3
order : 12
reformer : 7
hast : 3
exertion : 2
withthe : 4
reform : 7
hasa : 2
women : 45
woman : 20
pine : 4
anda : 2
save : 9
protection : 2
frankly : 3
top : 2
too : 36
honesty : 3
orderly : 2
have : 197
toy : 3
energetic : 2
question : 14
drugs : 2
spirit : 48
intellectual : 41
trusts : 2
regard : 12
rose : 2
creeds : 3
thousand : 17
workIt : 3
All : 195
shrines : 2
aRedeemer : 2
Copyright : 13
andtheir : 3
academic : 10
owns : 2
Angels : 7
including : 9
AGREEMENT : 17
anew : 4
And : 1745
try : 8
became : 3
Any : 70
times : 25
says : 16
direction : 8
That : 367
Their : 116
cry : 8
spires : 3
clamor : 2
Seas : 5
beautiful : 4
worked : 6
Thee : 9
Then : 29
state : 14
worker : 2
manit : 2
Are : 344
creating : 2
directs : 2
sweeping : 4
AMSTERDAM : 2
Art : 10
cut : 3
warrior : 3
Vanilla : 3
assonance : 2
clothesin : 2
two : 26
Dante : 6
moment : 6
ChurchThere : 3
teas : 2
distribute : 6
attach : 2
creation : 4
BUT : 196
think : 23
Movements : 2
ofhuman : 2
desires : 7
replaced : 2
services : 2
They : 128
filling : 2
watch : 4
speech : 2
LatinGreek : 2
thing : 32
thine : 4
domestic : 4
There : 195
paying : 3
fellows : 3
Sages : 10
This : 204
workis : 3
workit : 3
actual : 2
glass : 2
These : 51
penitence : 2
halls : 3
memory : 2
concept : 5
farmers : 2
HIGHER : 19
house : 7
lifting : 2
gentleness : 2
Others : 17
hours : 9
unjust : 2
libraries : 5
shore : 5
start : 3
stars : 2
finance : 2
downward : 2
obstacles : 2
PARAGRAPH : 10
climb : 2
Greece : 2
enter : 12
Cathedral : 2
statesmen : 4
sorrows : 11
requires : 2
Thirty : 5
NOTICE : 8
Help : 23
bright : 4
Self : 7
planned : 5
unknown : 2
Whoprojected : 2
Amsterdam : 2
manners : 4
Thou : 13
whenwe : 2
idleness : 2
Porto : 2
Hell : 7
menand : 7
friendly : 2
tell : 8
daughters : 2
shows : 3
shown : 3
majesty : 6
Christendom : 2
keeps : 3
day : 46
statesman : 5
Making : 9
created : 3
island : 2
format : 4
theological : 3
EXCEPT : 13
water : 5
Protestant : 4
formal : 5
Tyre : 2
fervor : 2
boards : 2
elsewhere : 4
Kings : 12
guarded : 2
psychic : 2
endowed : 3
built : 7
lectures : 2
fellowship : 3
third : 4
kingly : 4
build : 11
further : 6
demands : 5
thecountry : 2
Much : 33
parliament : 2
gravitation : 2
finds : 4
Thus : 9
going : 4
carefully : 3
banks : 3
Sea : 17
buyer : 3
Experience : 12
Here : 16
See : 20
average : 2
bodies : 3
Bible : 2
hereandthere : 2
THE : 2899
grasp : 3
theminister : 3
business : 43
possible : 6
right : 30
taught : 3
under : 27
desert : 3
did : 12
quarter : 2
die : 6
dim : 4
She : 23
later : 4
Hindu : 2
midst : 5
businessman : 2
possibly : 2
test : 2
learns : 2
conviction : 3
sermon : 5
final : 15
Sin : 34
occasion : 3
bred : 2
back : 12
training : 12
states : 17
ignore : 2
company : 2
Colonial : 2
priest : 3
babe : 3
grand : 4
overwhelming : 2
baby : 5
grant : 5
armies : 6
attempt : 2
balance : 2
revealed : 4
made : 15
bythe : 2
being : 31
contents : 2
status : 3
therace : 9
scattered : 4
Universities : 4
known : 3
stream : 5
bridged : 2
stand : 16
knows : 17
faroff : 2
lacks : 3
hometasks : 3
Son : 3
Pacific : 2
THAT : 367
use : 21
subject : 2
sadness : 2
daylaborer : 2
arrangement : 4
Trade : 52
credit : 2
likes : 2
waste : 3
cries : 8
Doctrine : 21
partof : 3
Army : 2
bearing : 5
includes : 5
dry : 3
Bow : 2
Walk : 3
denominational : 3
fidelity : 3
Information : 11
hither : 2
make : 51
wenever : 2
Godthe : 3
CHORDS : 2
due : 2
manhe : 2
Wealth : 10
ofNew : 2
psychological : 2
growtha : 2
manIt : 2
sorrow : 8
trees : 5
Must : 126
Blessings : 3
meaning : 6
drawing : 4
singing : 3
Sun : 7
allied : 2
labor : 11
Land : 8
filename : 5
highest : 12
unique : 2
whathe : 3
allies : 2
ministry : 8
worlds : 14
shelter : 3
industry : 3
raceThe : 3
long : 24
remember : 2
cedar : 2
workers : 10
But : 196
expression : 4
star : 7
childhood : 3
mans : 12
many : 56
stay : 2
inspire : 3
increasing : 3
progress : 27
Wars : 4
wholly : 8
woodland : 2
numbers : 2
seven : 2
arena : 3
tread : 3
Last : 11
wood : 2
clothesIn : 2
look : 23
THIS : 204
Rouse : 5
needed : 8
lord : 7
Time : 58
CHRIST : 18
Whether : 10
common : 6
interest : 9
China : 2
themselves : 11
mart : 4
Till : 6
eagerly : 2
Every : 71
formula : 2
step : 9
mark : 7
tribute : 3
underlies : 2
businessmen : 2
PRELUDE : 2
EBook : 13
worn : 3
work : 211
lose : 3
providence : 2
missionary : 5
word : 34
theory : 4
love : 47
hovering : 2
foundation : 18
across : 10
ear : 3
congregation : 4
loud : 2
reward : 5
simplest : 2
Doctor : 4
empires : 4
devout : 2
devotion : 4
exists : 2
stir : 6
Sensations : 2
formulas : 3
EXPRESS : 2
Cause : 5
Can : 125
seems : 6
Chief : 7
scientific : 16
Source : 4
CONTENTS : 2
enmity : 2
spend : 6
Since : 5
Topresent : 2
advantage : 5
spent : 2
Service : 19
Change : 16
instead : 12
BEFORE : 38
hands : 13
year : 12
branch : 2
themes : 6
emergencies : 3
doctrinal : 2
understanding : 6
silence : 4
near : 5
inspired : 6
economy : 2
community : 14
AM : 29
Emerson : 2
Exchange : 9
togive : 2
stop : 2
inspires : 2
Where : 35
Ad : 2
least : 12
Am : 29
An : 122
The : 2899
As : 268
At : 112
fulfilment : 2
DIE : 6
Be : 360
Thy : 24
learn : 8
questionings : 3
missions : 2
By : 233
evidence : 2
official : 2
ethics : 6
spring : 3
unmoved : 2
vibrations : 3
peoples : 2
EE : 2
minister : 26
need : 17
often : 16
Do : 138
Dr : 3
obtaining : 2
headAnd : 2
traditions : 7
lasting : 2
private : 3
Looking : 10
accomplish : 2
engine : 2
linen : 3
end : 13
lines : 3
liner : 3
fails : 3
Replacement : 5
special : 14
horizon : 2
environment : 11
GUTENBERG : 20
Asia : 3
pulpit : 2
royalties : 2
andthe : 10
progressive : 6
achieved : 2
START : 3
tries : 3
education : 35
called : 10
springs : 2
Go : 38
turns : 8
fullest : 2
gradually : 2
tried : 3
deepest : 2
brave : 7
narrow : 3
He : 333
IF : 93
Whatever : 7
shape : 2
IN : 748
IS : 1130
allegiance : 8
forth : 28
Too : 36
Distribution : 7
If : 93
In : 748
Is : 1130
Gutenberg : 20
It : 387
asked : 6
era : 6
ere : 2
share : 7
thoroughly : 5
USE : 21
Cease : 3
ofthe : 28
strongest : 2
trial : 4
undertake : 2
Try : 8
links : 3
ancestors : 2
below : 3
shall : 116
Truly : 4
races : 2
secular : 2
itwith : 2
Me : 39
NO : 118
financial : 4
dreams : 14
My : 64
running : 2
righteousness : 4
OF : 2271
harder : 3
No : 118
OR : 347
endeavor : 10
transport : 2
rolls : 2
complying : 3
Of : 2271
Oh : 4
Perhaps : 6
forms : 13
On : 163
Or : 347
victories : 2
achievements : 3
maintain : 3
farther : 2
differently : 2
pounds : 2
waves : 5
expected : 3
voices : 13
countries : 3
Two : 26
eye : 7
himself : 28
shines : 3
feels : 3
another : 19
centred : 2
Royal : 2
Royalty : 4
Beside : 5
triumph : 5
Figure : 3
such : 49
TO : 1085
So : 55
Other : 71
St : 4
administration : 2
remains : 5
incomplete : 2
white : 2
To : 1085
Truth : 25
US : 96
Years : 37
might : 12
intothe : 3
servants : 4
leads : 7
patriotism : 2
clothing : 4
Up : 82
fields : 2
next : 8
Beauty : 18
import : 2
classes : 3
System : 15
central : 2
trademark : 8
factor : 3
BROWN : 5
race : 62
was : 61
war : 10
sculpture : 2
We : 332
way : 55
realization : 2
play : 10
Behind : 8
foes : 3
quickly : 2
decide : 2
Teachers : 6
far : 15
plan : 3
intellectually : 3
Gulf : 3
Raphael : 2
study : 10
EBOOK : 13
fever : 3
gain : 9
web : 6
memories : 2
older : 2
physician : 3
electricity : 2
great : 123
behold : 2
Day : 46
economic : 18
fed : 5
fee : 9
discontent : 3
looks : 5
few : 20
rain : 2
inner : 9
produced : 3
outside : 8
effect : 2
produces : 2
producer : 2
sugar : 3
perceive : 3
who : 231
politics : 4
faith : 15
why : 12
died : 4
looms : 2
dies : 2
win : 4
Until : 15
electric : 3
colleges : 6
barter : 2
From : 143
thosewho : 2
matters : 3
various : 5
attention : 4
Flaeirmum : 2
visit : 2
parent : 2
fromthe : 4
honest : 5
assumption : 2
rank : 2
addition : 3
grow : 8
sure : 2
supremacy : 2
ordinarily : 2
am : 29
an : 122
as : 268
Generation : 10
at : 112
interpretation : 6
looking : 10
be : 360
prove : 2
Maker : 2
systems : 2
by : 233
Defect : 2
foot : 3
wills : 2
charge : 8
keeping : 3
isthat : 3
quicken : 2
breathe : 2
food : 5
Distributed : 5
Father : 5
freely : 3
perceiving : 2
devotional : 2
andwhatever : 2
language : 2
do : 138
won : 2
rare : 2
criticism : 2
Though : 12
which : 240
needs : 17
Wherever : 5
scoffer : 2
Fate : 6
never : 40
aspiration : 7
END : 13
foe : 4
tears : 4
ChurchToo : 2
for : 356
content : 2
lifeWith : 2
perhaps : 6
rate : 3
alert : 2
skill : 6
prophecy : 3
prosperity : 6
go : 38
Middle : 3
Muhammad : 2
form : 20
he : 333
placed : 2
taskmaster : 2
divine : 8
four : 4
else : 4
easily : 3
if : 93
in : 748
is : 1130
it : 387
schemes : 2
lively : 2
become : 12
eagerness : 2
literature : 11
catchwords : 2
sending : 2
RIGHT : 30
ability : 7
belief : 7
delight : 5
Use : 21
knew : 4
places : 2
Thepower : 3
misunderstood : 2
political : 5
Fuller : 3
while : 12
second : 9
Read : 16
that : 367
suggests : 4
than : 58
me : 39
limit : 2
freedomand : 2
author : 2
City : 8
feeling : 2
my : 64
plus : 2
license : 11
dream : 15
gaze : 2
preachers : 3
noble : 12
Except : 13
heat : 7
no : 118
immortality : 3
student : 2
careful : 2
head : 7
of : 2271
hear : 8
on : 163
or : 347
Archive : 11
nation : 5
oratory : 2
