Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10009.txt
pretend : 3
pick : 7
gloomy : 7
exhaled : 2
energy : 12
spreading : 7
goin : 3
A : 2171
B : 2
C : 3
E : 7
F : 4
H : 11
I : 884
turn : 16
gold : 4
result : 4
S : 5
W : 7
after : 84
a : 2171
b : 2
c : 3
presenceof : 2
Nights : 2
eating : 2
thenight : 2
o : 2
TuppersLake : 3
entering : 5
information : 7
reeled : 4
shoals : 2
good : 74
COUNTRY : 30
besides : 3
copying : 2
Thereis : 2
gone : 19
walked : 11
disturbed : 2
ascent : 2
root : 2
Islands : 18
roof : 12
greyness : 3
quarters : 3
room : 11
better : 19
taking : 19
pile : 5
Sabbath : 2
flow : 4
order : 9
reminds : 15
protecting : 2
Circumstances : 10
timid : 2
reform : 2
LowerSaranac : 2
coach : 2
women : 11
woman : 5
protection : 2
BOATMANS : 3
FoxA : 2
ThemA : 2
Maltese : 2
question : 15
thesurface : 2
intellectual : 7
picture : 3
rose : 13
thousand : 27
All : 301
alder : 4
FishingHomeA : 2
pipe : 22
circumstances : 10
plenty : 5
AGREEMENT : 17
BOY : 26
And : 3105
became : 17
Any : 109
times : 30
BrookForest : 2
Their : 240
cry : 10
rows : 6
ofmy : 2
pity : 2
freshness : 5
uncertain : 2
beautiful : 85
element : 2
lumbermen : 2
Are : 263
creating : 2
Ark : 5
DOGSTHE : 2
sweeping : 4
cut : 12
Vanilla : 3
distribute : 5
shout : 3
kitchen : 2
creation : 5
FISHINGHOMEA : 2
BUT : 324
think : 34
BEARAN : 2
thing : 63
ofus : 2
toremain : 2
marring : 3
footor : 2
shook : 3
There : 250
paying : 3
fellows : 7
shoot : 8
actual : 3
glass : 4
andfrom : 2
These : 180
assume : 2
ofgovernment : 2
memory : 15
Fifteen : 19
Mountain : 31
lifting : 3
shore : 81
discordant : 2
stubbed : 2
short : 20
consistency : 2
eddies : 2
enter : 5
HThe : 2
Butwe : 2
Finding : 2
WALLTHE : 2
NOTICE : 7
bright : 26
onTuppers : 2
performed : 2
ofrepose : 2
whenwe : 3
walled : 3
hanging : 3
compact : 4
PondThe : 2
possession : 5
bushels : 3
dam : 11
dat : 2
pointing : 2
day : 78
countryThe : 2
EXCEPT : 5
CAN : 81
nimbly : 2
countless : 3
CAT : 20
pierced : 2
interlocked : 3
specimen : 2
possessing : 2
heavily : 4
third : 8
further : 6
Bay : 30
Towards : 92
outupon : 2
Albany : 2
going : 18
carefully : 16
Regis : 3
pantaloons : 4
bounding : 7
business : 26
partly : 5
shoes : 3
STORM : 16
taught : 2
balsam : 2
desert : 2
did : 53
quarter : 23
die : 7
fragrant : 2
dim : 7
oppositeside : 2
lulling : 2
forgotten : 6
Lack : 10
BrookA : 2
seasons : 2
journey : 11
remained : 7
brown : 6
uponwhich : 2
excursions : 2
back : 97
states : 15
pound : 8
sheets : 4
company : 9
length : 13
raccoon : 6
Tuppers : 14
baby : 9
showing : 2
thick : 6
